screen_name,location,created_at,followers_count,friends_count,relationship
SoribenVirgilio,,26/12/2020,2,0,friends
Suzette_yu,,18/10/2010,51,114,friends
LilyZali,malaysia,19/8/2010,4633,1134,friends
GDMA_MY,,25/4/2020,30,15,friends
KKMPutrajaya,Putrajaya,20/3/2012,1222542,97,friends
chabbycamaclang,"Imus City, Philippines ",19/5/2009,625,221,friends
lingmien,Malaysia,25/5/2015,112,186,friends
Heypopoi,Kuala Lumpur Federal Territory,8/6/2011,3282,821,friends
arxxxxmand,"Johor Bahru, Johor",26/1/2011,24517,951,friends
surosyaidah,Kuala Lumpur,30/8/2014,1020,250,friends
FaizAlavi,Home,12/4/2012,582,373,friends
msmaheran,Qatar 🔁 Malaysia ,27/1/2015,589,205,friends
syedmh_,,15/5/2011,313,106,friends
superjaypeee,-,9/12/2012,1936,551,friends
fitriiiiiimn,,15/4/2012,129,268,friends
Airish_schlum,"Kuala Lumpur City, Kuala Lumpu",11/8/2017,10,73,friends
aqilahihwan,,17/3/2012,468,624,friends
nanadzulkefflee,Kuala Lumpur,30/5/2009,271,157,friends
NDRkayla,,28/9/2013,96,200,friends
_mightylemon,Malaysia,27/5/2013,1152,750,friends
Syed_Ridhwan97,,11/5/2012,423,367,friends
thatssorryan,Kuala Lumpur,5/5/2016,34,67,friends
d3rhaka,"Seremban, Kedah",3/9/2012,12099,1739,friends
samjasrin,kk city,29/1/2010,750,178,friends
PuteriOmeyyy,"Perak, Malaysia",21/12/2010,292,295,friends
michaeljting,Kuala Lumpur Federal Territory,9/6/2009,342,246,friends
YasminMahmood88,Malaysia,15/9/2014,10982,167,friends
dvnielismail,Johor - KL,9/10/2009,6435,506,friends
MrSallisTenby,"Pinang, Malaysia",16/2/2016,296,272,friends
wrdhwfqah,"Manchester, England",2/12/2016,308,246,friends
firdausshd,"Kuala Lumpur, Malaysia",30/8/2015,87,314,friends
aimanazrii,,12/12/2012,287,317,friends
