screen_name,location,created_at,followers_count,friends_count,relationship
LjRxWwDrP2qpDhO,,17/11/2020,1,275,followers
ChiziSaviour,,3/3/2021,3,53,followers
natp41964876,,2/3/2021,0,39,followers
BdImall,,1/3/2021,29,193,followers
Witasar40658969,,2/3/2021,6,210,followers
masbibh,,31/12/2017,11,64,followers
AThea0520,,15/11/2020,0,8,followers
NurulSy09003100,,15/10/2020,3,171,followers
MrShah89,,6/10/2020,2,105,followers
JeffreyLeo18,,2/3/2021,1,116,followers
li_377255793,,22/9/2017,1,48,followers
Ong19Joey,,2/3/2021,0,8,followers
ChophieyaAnyss,,24/12/2012,1246,2516,followers
DominicRudolph1,,16/6/2020,1,55,followers
ikramhazani98,"Setiu, Terengganu",28/3/2017,244,453,followers
Rantung111,"Kota Bitung, Sulawesi Utara",11/2/2021,198,501,followers
Lawanya2000,,9/4/2020,4,38,followers
louiekl,kuL,2/8/2009,104,825,followers
TGaanesh,Malaysia,13/12/2016,54,285,followers
AmrinaImran,Kuala Lumpur City,26/2/2021,9,64,followers
optimus129,,31/12/2010,110,103,followers
ShareDot_Com,,20/11/2020,5,35,followers
harriz86,KAJANG,4/10/2011,11,73,followers
jeonnaih,,22/5/2020,29,416,followers
airaamsn,ph,26/12/2014,603,402,followers
dony_catatan,"Kota Surabaya, Jawa Timur",20/9/2011,417,2986,followers
ReighTan,"Consolacion,cebu",27/2/2021,0,9,followers
indar03824470,,29/11/2019,5,18,followers
zhtec14911491,Malaysia,27/2/2021,0,32,followers
noldzdagreat,"Kota Kinabalu, Sabah",5/8/2017,101,1041,followers
AainaMazlan,MALAYSIA,4/6/2011,41,284,followers
cookie14022017,,26/2/2021,0,2,followers
sticky13819321,,26/2/2021,0,75,followers
takner18,,2/12/2020,0,11,followers
Faridahmatnor1,,26/2/2021,0,19,followers
Ronymoly1,"Kuching, Sarawak",27/1/2017,700,2261,followers
Asher52576147,,25/2/2021,1,26,followers
Thebestdeals00,,25/2/2021,0,9,followers
tomorin4270gma1,,10/3/2015,173,1380,followers
Sofiemilia7,,24/2/2018,74,769,followers
rose_ulpindo,CAbanatuan philippines,10/2/2021,2,125,followers
peachypeach_12,,20/9/2020,114,431,followers
IwanY44004075,"Kota Probolinggo, Jawa Timur",24/1/2021,6,292,followers
DKNHZ5e0PifAucW,,17/2/2021,1,166,followers
pat7431,Malaysia,30/5/2018,3,46,followers
19Fredsyl,,23/2/2021,1,100,followers
iamxysa,"Valencia, Philippines",2/10/2012,91,889,followers
Balamur70675582,Malaysia,9/7/2017,89,288,followers
hazri,Kuala Lumpur Federal Territory,18/4/2008,725,2476,followers
Jue94770449,,25/2/2021,0,31,followers
Thinzar1974,South Okkalapa Yangon Myanmar.,3/2/2021,48,107,followers
4nsyaa,Kuala Lumpur City,24/2/2021,0,23,followers
MERACEL11,,24/2/2021,0,61,followers
nyinaa1,,24/2/2021,0,43,followers
HappyFresh_MY,Malaysia,16/1/2015,773,71,followers
AndrewC06424675,,23/2/2021,1,12,followers
hyefridd,,23/2/2021,6,87,followers
AnitaLeehuichen,Indonesia 🇮🇩🇮🇩🇮🇩🇮🇩,15/7/2020,60,1060,followers
ArnelGualdo,,8/11/2020,7,153,followers
Frenzieyahooco1,,23/2/2021,21,134,followers
AzirahHarun,????? ,22/2/2021,2,13,followers
reyewsables,"Penang, Malaysia",7/4/2020,2,56,followers
NurRaha37561949,,22/2/2021,0,1,followers
Josqilogy,Malaysia,14/9/2019,0,30,followers
pieternainggol1,"Jakarta Capital Region, Indone",19/7/2014,47,292,followers
io7TE0tygE4FiSr,,1/6/2020,62,1335,followers
GosebbyS,Kuala Lumpur City,21/2/2021,0,13,followers
footprint602,서울,29/8/2014,2,8,followers
nrulfr,Malaysia,13/2/2018,99,250,followers
MokhtarHamizi,,4/2/2021,2,261,followers
consumer_mcm,Malaysia,27/9/2015,172,466,followers
Bennwhite84,"Alor Star, Kedah",21/4/2019,32,428,followers
ElaineSoh8,,20/2/2021,7,357,followers
COSports5,,20/2/2021,1,3,followers
izahamzah_,earth,26/12/2011,113,412,followers
ChianWui,,20/2/2021,1,2,followers
JaketMudin,,19/2/2021,0,115,followers
Andy87331877,,4/11/2020,0,15,followers
maneehiya17,Thailand,3/4/2017,4,27,followers
Koleksiismah,Tapah,1/3/2013,41,42,followers
Munnahafizah,,25/1/2020,6,210,followers
SakhileDecastr1,,31/1/2021,111,806,followers
Johnson54140583,United States,18/2/2021,4,178,followers
faizala2017,Kuala Kumpur.,16/2/2021,1,5,followers
nothing_simply,,13/2/2021,0,12,followers
Popeye79282422,,23/1/2021,6,379,followers
AyuuuuAzman,Malaysia,30/4/2012,102,235,followers
lutpyun,,26/9/2018,4,6,followers
efyfauzi,Malaysia,25/5/2011,690,542,followers
MASLAM31570448,,2/1/2021,16,416,followers
NajibHaris22,Malaysia,16/2/2021,0,10,followers
AdindaSyabil,,5/2/2019,1,56,followers
MohdToh76557769,,3/2/2021,172,606,followers
Syaufihani,,20/3/2013,36,882,followers
hkfa9290,,5/12/2017,2,212,followers
MegaHygiene,"Kluang,Johor.",3/10/2014,19,28,followers
TankianSeng24,Malaysia,26/5/2018,74,310,followers
hassanforpeace,"Lahore, Pakistan",2/6/2010,178,2409,followers
jvpointmy,Malaysia,13/2/2021,2,86,followers
samuelngu87,"Sibu, Sarawak",27/10/2010,35,397,followers
kaykay_65,,22/5/2018,10,239,followers
ahxian5113,,16/2/2021,3,55,followers
HardyBo05027971,,16/2/2021,0,17,followers
ShoppeezC,Philippines,16/2/2021,5,47,followers
Pam980911,,6/10/2014,1,18,followers
HughGreenU,harm’s way,24/1/2015,223,525,followers
Syamiloais1,,5/12/2019,23,586,followers
iqajamaludin,,24/3/2020,20,213,followers
encikzahid,"Georgetown, Penang",11/8/2011,70,438,followers
izzuddin0410,,2/3/2019,1,123,followers
Wandy782,"Wilayah Persekutuan Labuan, Ma",9/3/2020,28,149,followers
ANN16339299,,10/11/2019,3,64,followers
hj8ODwiNODTfbPf,,11/11/2020,11,250,followers
Ravi61770187,,14/2/2021,7,365,followers
paoecua,London,21/11/2009,3661,4944,followers
yuri53278361,,4/12/2020,0,15,followers
AidanBaihaqi,,13/2/2021,0,25,followers
bezetrossoneri,"West Java, Indonesia",30/5/2013,2232,2289,followers
Nursyif05704038,,8/2/2021,2,18,followers
rizainadiah,,15/4/2010,15,78,followers
EdanE34765674,,5/9/2020,0,17,followers
INovitasari17,palopo,11/10/2014,51,376,followers
abudzarprusbn,Malaysia,1/2/2021,11,108,followers
BarnMadeira,,5/6/2013,2895,4906,followers
aleqxier92,Brunei,17/3/2020,2,232,followers
DeniRamdhani87,Indonesia,15/11/2018,115,536,followers
JayaAfandi10,,19/8/2017,74,651,followers
DelMundoJenny1,,17/12/2020,0,23,followers
AinaGuuillermo,,12/2/2021,0,4,followers
sebuahtandaa,,17/1/2021,6,176,followers
Elvinnn10,,24/1/2020,2,11,followers
WardhereS,,12/2/2021,5,109,followers
KeedalSabrie,,28/1/2021,24,1932,followers
everpeaks,,8/11/2016,31,256,followers
Peterpa22448475,"Bandar Kuala Lumpur, Wilayah P",11/2/2021,0,55,followers
PremaLa93824806,,11/2/2021,6,276,followers
alisyaazli,,8/1/2021,1,24,followers
Ytriz7w01SOBC6R,"北京, 中华人民共和国",30/5/2018,0,39,followers
wawuzAF,Malaysia,23/8/2018,9,412,followers
norjamaeyah,,25/6/2019,0,13,followers
AmmaraMontes,,5/2/2021,0,34,followers
OnlineSurvey9,,10/2/2021,1,35,followers
88Money1,,31/8/2019,6,33,followers
Nurhaya11926308,,9/2/2021,0,6,followers
redpink06137465,,6/5/2019,0,138,followers
AdzimImrann,"Kuala Lumpur , Malaysia",24/1/2013,501,375,followers
mandeepkarpall,,18/6/2011,5171,1174,followers
in2uh,,9/10/2011,2,8,followers
dewi_sury,"Kuala Lumpur, Wilayah Persekut",27/12/2020,16,622,followers
haqiem_usin,,18/1/2021,2,91,followers
