screen_name,location,created_at,followers_count,friends_count,relationship
ohjenal,,11/03/2016,204,510,followers
anisznizaa,Malaysia,15/11/2019,4,112,followers
minimimhie,Rizal,30/12/2012,77,129,followers
aida_angah,,23/11/2012,350,255,followers
itsreyesj,,16/09/2020,4,189,followers
Rahmawati10081,,26/02/2020,14,95,followers
DarkViviTweets,,14/06/2020,12,228,followers
Elvis_kings01,"Lagos, Nigeria",02/08/2010,41,395,followers
baitisulaiman,"Machang, Kelantan",06/02/2014,73,1728,followers
ARMY_jonalyn,,30/12/2020,3,169,followers
HazzierinaWan,,02/03/2021,1,35,followers
mhizmaryz,French Guiana,13/12/2020,106,641,followers
asyahrulh,"Subang Jaya, Malaysia",12/03/2009,119,174,followers
BdImall,,01/03/2021,29,193,followers
Shazmie10,Bangi,06/11/2012,284,157,followers
aaadibbbaaaH,old trafford,20/07/2010,187,1010,followers
Inaraaa_17,Malaysia,16/01/2021,6,132,followers
ImanAbdulRahim,,07/03/2009,290051,718,followers
mira_nani98,,04/09/2019,3,38,followers
AngelStarResou1,Malaysia,19/01/2021,0,12,followers
diyana_tahir,,15/11/2011,1805,904,followers
_azirahatta,"Sabah, Malaysia",04/11/2015,175,139,followers
Ado2jelah,,02/05/2020,12,231,followers
Candice84773504,,15/09/2020,0,2,followers
ShopeeCare6,,03/03/2021,0,4,followers
syuhada5050,Malaysia,14/06/2016,12,32,followers
AzzimAliShoberi,Alor Setar Kedah,03/09/2012,2033,1427,followers
Dtvconan20,"Selangor, Malaysia",12/11/2020,4,29,followers
MZulkiman,,05/03/2020,0,17,followers
aDesignOrange,PSE,15/03/2020,46,623,followers
BarlowFitzGera2,,21/11/2020,0,16,followers
qianhuiviiix,,12/04/2013,364,202,followers
Daya88746466,,03/08/2019,2,128,followers
alienoxbluefrog,Kuala Lumpur,28/04/2012,26,632,followers
BoothHoward2,,21/11/2020,0,18,followers
eitasophia,malaysia,19/02/2010,227,879,followers
penguinnnsoo,EXO planet,24/04/2020,237,564,followers
Hellotuahliana1,"Selangor, Malaysia",07/01/2021,13,565,followers
raraa_35,"Bandung, Indonesia",31/12/2020,253,710,followers
llyxxc,,06/04/2018,55,754,followers
Mahathi04271259,,30/10/2020,8,232,followers
Efarina_rs,,06/04/2011,72,115,followers
Imranhzim,"Selangor, Malaysia",01/11/2020,5,73,followers
asirahazmy,universiti putra malaysia,27/02/2018,140,279,followers
HlaMyoKyaw20,,02/03/2021,1,33,followers
maybeEther,Malaysia,02/10/2020,278,630,followers
acapdesouza,shah alam,02/01/2010,176,134,followers
naiong_wine,"Selangor, Malaysia",28/11/2012,18,78,followers
bmegirl_,,18/05/2019,139,326,followers
_nisanny,somewhere in earth,16/08/2019,10,63,followers
Itsmejames991,,02/05/2020,10,202,followers
loeyislove1127,엑소 마음속에 / 말레이시아,01/12/2011,122,442,followers
tumbljm,,16/08/2009,2472,1025,followers
szabarie,Selangor - Kuala Lumpur,22/11/2014,367,212,followers
silentkiller07_,"Batu Pahat, Johor",07/01/2018,8,72,followers
hiwonna,Malaysia,23/02/2021,2,80,followers
leayanaaa_,My,29/04/2017,118,492,followers
MrShah89,,06/10/2020,2,105,followers
JeffreyLeo18,,02/03/2021,1,116,followers
shaari111,,11/05/2012,33,113,followers
daysgonebeh,alaska condensada,29/08/2020,0,270,followers
najlamysrh,,18/03/2020,646,695,followers
JailaniAfrina,,05/03/2020,36,160,followers
charlinemallor3,,03/12/2020,4,99,followers
hattamikael,,10/11/2008,36,398,followers
nicodammn,Outer space,04/12/2019,25,199,followers
Auniwani4,Malaysia,05/06/2018,646,955,followers
ddalilaa,,30/08/2009,445,818,followers
CrunchYeen,,01/03/2021,11,170,followers
jimanxx,"Miri, Sarawak",06/04/2009,188,439,followers
minimies_en,17 | She/Her,23/02/2021,6,95,followers
gudeiary,Malaysia,28/12/2020,0,5,followers
MukhreM,"Kota Bharu, Kelantan",06/10/2014,117,657,followers
minimies_txt,17 | She/Her,23/02/2021,1,22,followers
azrilamirul1,,16/07/2015,4,170,followers
minimies_vk,17 | She/Her,26/09/2020,226,32,followers
ub3y,Kota Bharu-Shah Alam-Jannah,07/04/2009,502,376,followers
mrbarosy,"New York, USA",14/12/2020,32,77,followers
sefmorales,Philippines,13/08/2011,453,1128,followers
zukhairi17,"Alor Star, Kedah",01/06/2016,132,220,followers
amiraixat,Kuala Lumpur,24/08/2011,510,848,followers
wanda_anderlina,"Perak, Malaysia",15/01/2017,30,223,followers
arfahhannani,,03/12/2011,2053,966,followers
Jazzmine_jessy,Damansara,29/08/2019,31,297,followers
ibnu_jamal, Malaysia,08/07/2009,197,281,followers
XCE1GInpkA5N3Qj,,06/09/2020,0,119,followers
RizalMurad,malaysia,28/01/2010,95,581,followers
fedenciometran2,,17/07/2020,9,210,followers
Lulu_nurjanah_,"Tasikmalaya, Jawa Barat",02/02/2021,304,833,followers
