screen_name,location,created_at,followers_count,friends_count,relationship
Ayda_Jebat,,2011-05-31,220359,578,friends
seanlje,,2011-03-02,46661,319,friends
MKNJPM,Putrajaya,2019-07-10,358085,59,friends
501Awani,Malaysia,2012-02-20,2168722,331,friends
NetflixMY,Malaysia,2015-12-03,149660,68,friends
Roshinee_M,cukup.club,2012-03-19,3489,345,friends
MaisarahMahmud,,2010-12-03,355183,527,friends
byglampick,Kuala Lumpur,2020-02-04,595,25,friends
adriana_adnan,"Kuala Lumpur Federal Territory, Malaysia",2010-06-07,6473,602,friends
Jinnyboy,Malaysia,2009-01-12,279979,707,friends
ohmostwanted,"Petaling Jaya, Selangor",2018-01-19,1371,19,friends
Idea_Skincare,,2018-10-29,6908,16,friends
VancityReynolds,🇨🇦 & 🏴󠁧󠁢󠁷󠁬󠁳󠁿,2014-11-26,17269960,952,friends
MarkRuffalo,NYS,2009-06-15,7221807,2234,friends
chrishemsworth,,2015-03-05,6961402,106,friends
JeremyRenner,,2014-08-07,5423824,487,friends
prattprattpratt,,2011-01-22,7912931,477,friends
RobertDowneyJr,,2009-06-17,15885470,63,friends
ChrisEvans,,2012-05-14,14578287,708,friends
twt_kecantikann,Malaysia,2016-03-18,88811,34,friends
AmandaImani91,Kuala Lumpur,2009-05-24,9058,1098,friends
sashasaidin,,2009-03-27,88866,656,friends
tantannewsMY,Malaysia,2014-08-05,426,129,friends
imSarahLian,Kuala Lumpur,2008-10-19,6587,318,friends
revlon,,2010-04-07,448415,502,friends
Colgate,,2009-02-24,75962,4859,friends
PFCosmetics,"California, USA",2009-04-27,65539,742,friends
OralB,,2010-03-09,91109,2479,friends
missfazura,Malaysia,2009-07-18,1822471,5526,friends
OlaySkin,,2011-09-14,149282,588,friends
Nor4Danish,Malaysia,2011-05-15,2005040,484,friends
Neutrogena,,2009-11-20,49265,440,friends
linoralow,Kuala Lumpur,2007-07-31,3397,677,friends
ClinelleMy,,2015-07-15,183,14,friends
rimmellondonuk,London,2009-11-23,166155,1044,friends
bourjois_uk,"London, UK",2009-04-15,107759,1390,friends
bioreus,"Cincinnati, Ohio",2014-11-12,8228,74,friends
AishaLiyana,"Penang, Malaysia",2009-06-12,17791,242,friends
cetaphilMY,Malaysia,2015-06-19,728,4,friends
GarnierMalaysia,Kuala Lumpur,2014-05-27,1072,66,friends
LOrealParisMY,Malaysia,2011-06-04,2155,1435,friends
CLEARMalaysia,,2013-07-03,11145,6,friends
SUNSILKMSIA,Malaysia,2013-10-04,14052,6,friends
WatsonsPH,"Philippines, APAC",2010-10-04,25010,146,friends
AaronDwiAziz,Singapore,2011-02-22,2084692,848,friends
Neelofa,KL,2009-09-17,2960240,503,friends
Shaheizy_Sam,Malaysia,2010-01-18,2272524,1856,friends
CTNurhaliza11,,2010-09-27,2579593,102,friends
yunamusic,"Los Angeles, CA",2010-03-08,2484294,1691,friends
zizanrajalawak,kuala lumpur,2010-03-11,2852925,1263,friends
LisaSurihani,,2009-07-18,3808548,444,friends
MaybellineMY,Malaysia,2014-12-03,2763,33,friends
Zaidi_Aziz,"Damansara, Selangor",2009-07-16,2448,712,friends
BELLAZAHIR,Instagram : @bellazahirzain,2011-04-28,19837,621,friends
ohbulancom,Malaysia,2009-02-28,111885,367,friends
SimplySitiSB,Malaysia,2011-03-11,5567,6,friends
kleioCo,,2017-02-10,60,37,friends
WatsonsSG,Singapore,2011-01-11,4342,69,friends
amberchia,"Kuala Lumpur, Malaysia",2009-05-04,29679,629,friends
LangauTwit,,2021-03-03,0,38,followers
choc0_p1e,"Kajang, Selangor",2015-08-30,142,100,followers
Mika88681,,2021-03-03,0,16,followers
Sparrow__PWJ,,2016-04-02,0,20,followers
Marhatasnim1431,,2020-11-28,4,42,followers
faiezaaziz,,2021-03-03,0,12,followers
AidilMu40946618,,2021-02-19,1,10,followers
BondzieCaleb,,2021-03-03,0,86,followers
Jackyjeff5,,2021-03-01,1,30,followers
rlj60847772,,2021-03-03,0,25,followers
RJPRODUCTIONS3,hatimu,2021-03-03,0,16,followers
_jiehaaaa,Kota damansara,2012-12-15,260,184,followers
Rajhi62238805,,2021-03-01,0,50,followers
HafizMdNasir,Malaysia,2021-03-03,1,121,followers
nray07745790,,2021-03-02,0,39,followers
TigerDr04679853,"Kelantan, Malaysia",2021-02-18,2,135,followers
winjaemark,,2021-03-02,0,22,followers
mohdraz92252272,,2021-03-03,0,57,followers
AsmaiAysraf,,2021-03-03,0,5,followers
Zah50150790,"Miri, Sarawak",2020-02-11,0,52,followers
Alina915,,2021-03-03,0,158,followers
syazinthearea,,2019-10-28,8,13,followers
mohdikramramli1,,2021-03-03,0,15,followers
CikEyra12,,2021-03-03,12,180,followers
nrzxyh,,2021-03-03,1,16,followers
HAFIS16428678,,2021-03-03,1,7,followers
Aizac48654218,,2021-02-19,1,26,followers
MuhdNur17927036,,2021-03-03,2,27,followers
hazarinasukri_,"Batu Pahat, Johor",2017-05-14,54,61,followers
NanadA07241245,,2021-03-03,2,46,followers
WVSdNIxKqZiutMj,,2021-03-03,0,5,followers
21_masturina,,2021-03-02,2,29,followers
WaiYian1,,2021-03-03,0,5,followers
1301M1n4,,2021-03-03,0,3,followers
JelitaOrchid,,2021-03-03,0,5,followers
lyaniyssni,,2021-03-03,1,13,followers
AdieynnaL,,2021-03-03,0,55,followers
AnnAnie45944591,,2021-03-03,0,19,followers
swannn42466280,,2021-03-03,0,30,followers
Mariessa23,,2014-03-24,285,192,followers
ElmyAJ,,2021-03-03,9,36,followers
Tommyooi871,,2021-03-03,0,50,followers
MohamadSyafie12,,2021-03-03,0,21,followers
MarymJamila0_0,Malaysia,2020-11-15,1,39,followers
NorFazilawati3,,2021-03-03,0,4,followers
AZolkfli,,2021-03-03,1,71,followers
makjimin12,,2021-01-21,0,22,followers
Ainulmardhiya3,,2021-03-03,0,29,followers
AyuRashid4,,2020-11-29,1,7,followers
Prassy79046497,,2021-03-03,2,105,followers
David58553495,,2021-03-03,0,20,followers
BdImall,,2021-03-01,29,193,followers
EdieyZ,,2021-03-03,0,18,followers
themizahanje2,,2021-03-03,0,19,followers
NatikahNr,,2020-11-07,5,33,followers
JPctfaridahajek,,2021-03-01,11,119,followers
tikah1997,Malaysia,2021-01-15,1,3,followers
Nurfaiz42516634,,2021-03-03,0,8,followers
lithikasheeni,,2021-02-22,0,26,followers
Mursyidie2,,2021-03-03,0,30,followers
MYme19675214,,2021-03-03,0,102,followers
EvaCloudia,,2021-02-20,1,14,followers
AlifRidzal,,2020-12-09,19,455,followers
AzuelMohamad,,2021-03-03,2,141,followers
rocky0171,"Dhaka, Bangladesh",2017-05-27,45,494,followers
AdrinaEyqah,,2020-11-28,0,2,followers
ihssan_muhammad,,2021-03-02,0,71,followers
eastcasablanca3,Kuala Lumpur City,2021-03-02,0,7,followers
prettybeast__,,2018-12-27,11,191,followers
AsyaAz8,,2021-03-02,1,13,followers
AlanisCalderon2,,2021-03-02,0,2,followers
jump_daily,,2021-03-02,0,118,followers
ZAOX74288562,,2021-03-02,0,72,followers
athirra_,,2021-03-02,2,12,followers
Qr2BC2ExdnBQThz,,2021-03-02,0,5,followers
bungalillyyy,,2021-03-02,23,129,followers
DanishHaqeem,,2021-03-02,1,6,followers
__faiz,,2011-05-07,560,199,followers
MuhdSya12455634,,2021-03-02,0,11,followers
shamier92118621,,2021-02-20,0,13,followers
King44266795,,2021-03-02,0,20,followers
NurHida16080947,,2021-01-17,9,73,followers
JosephL63358176,,2021-03-02,1,27,followers
__miernblh,matsuoka,2021-03-02,13,92,followers
ShahRif10,,2021-03-02,0,25,followers
nrtehalemm,,2021-03-02,2,27,followers
IqbaAiman,,2021-03-02,1,21,followers
Nobodyspecific7,,2021-03-02,0,3,followers
shatilafatin92,,2021-03-02,0,35,followers
boothtudungsaya,,2021-03-02,44,135,followers
Nutnutt19,,2021-03-02,1,13,followers
aeyinnr,,2021-03-01,0,18,followers
dannydunno20,"Perak, Malaysia",2021-03-02,0,24,followers
Puteri08181763,,2021-03-02,0,4,followers
Dialoba3,,2021-03-02,0,9,followers
iyliasyazwanie,지니어스랩,2011-10-08,2879,607,followers
AmmarNaj2,,2021-03-02,2,30,followers
Aina27879369,,2020-10-15,0,44,followers
fzrndsk,Malaysia,2016-01-26,254,296,followers
roselily0000,,2021-03-02,2,110,followers
kristin97865021,,2021-02-25,1,13,followers
sami_banzey,,2021-03-02,0,5,followers
Nisha89468313,"Negri Sembilan, Malaysia",2021-03-02,1,15,followers
wwarzl,,2021-02-18,3,38,followers
RasidSharifah,,2021-03-02,1,170,followers
anne10531325,johor,2021-03-02,1,20,followers
Dania723313093,"Langkawi, Kedah",2021-03-02,1,35,followers
Atokmaintiktok,,2021-03-02,0,15,followers
AsmiraJue,,2021-03-02,0,7,followers
MyoKhineShin1,,2021-02-06,0,10,followers
Anasjamry,,2021-03-02,0,35,followers
zainudin_muslim,,2021-03-02,1,28,followers
Pipooo29506425,,2021-03-02,2,90,followers
haida_irdina,,2021-03-02,1,137,followers
Suzi57594780,,2021-03-02,1,30,followers
suka29203438,,2021-03-02,0,42,followers
TeoKL15,,2020-12-07,0,22,followers
Crestia11,,2021-03-02,1,32,followers
MDManik08948105,,2021-03-01,0,11,followers
Idaraida3,,2021-03-02,0,14,followers
AbdrahmanTaib,,2020-11-23,23,120,followers
teayaaaaa_21,Malaysia,2021-03-02,0,12,followers
aniseu_n,,2021-03-01,0,23,followers
Austinboon20,"Johore, Malaysia",2021-03-02,6,259,followers
HouseSnacks,,2021-03-02,0,38,followers
Safiah24083286,,2021-03-02,0,13,followers
NatasyamiraB,,2010-12-03,659,506,followers
aneesa29147230,,2021-03-02,1,38,followers
nurrahm21543219,,2021-03-02,0,93,followers
hasbah19,,2021-03-02,0,77,followers
Areone01848167,,2021-03-02,1,21,followers
akukamu58196675,,2021-03-02,0,12,followers
Fishaz01,,2020-10-03,12,46,followers
Rossarose07,"Penang, Malaysia",2021-03-02,0,14,followers
Devil54449347,,2021-03-02,1,30,followers
ali90268075,,2021-03-02,0,37,followers
noldzdagreat,"Kota Kinabalu, Sabah",2017-08-05,101,1041,followers
sayaaintann,,2021-03-02,0,9,followers
muhamma92722629,,2021-03-02,0,26,followers
roseyyaryy,,2021-03-02,0,13,followers
zack13130,,2018-06-28,11,217,followers
Donutcoklat5,,2021-02-08,1,10,followers
_sofiahleya,,2021-03-02,1,98,followers
Gyul09390945,,2021-03-02,0,25,followers
Nrazua,,2021-03-02,1,59,followers
azwasuhana3,,2021-03-02,0,2,followers
sissyrendah,,2021-03-02,1,8,followers
hanishabidi,,2017-02-11,132,120,followers
nurzlaiqa,"Johore, Malaysia",2020-03-24,40,123,followers
MohdAti22260640,,2021-03-02,0,13,followers
rhysirtp,Chelsea,2010-09-28,8607,59,followers
NONEE70185132,"Putrajaya, Wilayah Persekutuan",2021-03-02,0,44,followers
witwit52075888,,2021-02-27,0,15,followers
Kynasangmailco1,,2021-03-02,0,2,followers
Nurhaznida3,"sungai petani, Kedah  ",2021-03-02,5,32,followers
KefliAmira,,2020-08-16,2,23,followers
AAloysiu,,2014-02-13,2,223,followers
Phoniex27808137,,2021-03-02,8,50,followers
NurSyaf15252174,,2021-03-02,0,106,followers
mihaii95305647,,2021-03-02,0,37,followers
AbdlRhmn___,,2021-03-02,6,29,followers
Nnmyy1,,2021-03-02,0,18,followers
SQbX7BhfJOTwj9j,,2021-03-02,1,57,followers
chewweisan1,,2020-03-25,1,59,followers
Ferdinanf4,,2021-03-02,1,70,followers
norini01342738,,2021-03-02,1,17,followers
Syyira2,"Pahang, Malaysia",2020-12-29,9,15,followers
Aat3tN,,2021-03-01,0,6,followers
arepiera,,2021-02-11,0,34,followers
AKadirisman,"Kuching, Sarawak",2021-03-02,1,64,followers
Nothing16250720,,2021-03-02,0,17,followers
finashamsuddin,,2018-08-21,54,144,followers
KauIjat,,2021-03-02,2,79,followers
shazwaninajiha,"Pahang, Malaysia",2017-10-02,504,138,followers
Nasrudd45561892,,2021-03-02,1,15,followers
faridmurid,,2021-03-02,1,7,followers
husnadhirahh,,2013-06-17,56,213,followers
RosnaniAcin,,2021-03-02,1,33,followers
Pubg67234607,,2021-03-02,0,4,followers
nrndania,,2020-03-22,40,29,followers
Rara01568792,,2019-07-19,6,30,followers
Mior87832173,,2021-03-02,1,18,followers
Reene98626741,,2021-02-28,0,11,followers
fashhy1,,2021-03-02,0,4,followers
tissaammar,,2021-03-02,1,31,followers
nnnykim__,,2020-03-16,12,65,followers
najwahisham4,,2021-01-13,61,194,followers
ctsuka3,Tasvengers @ Bangi Gateway,2021-03-02,0,26,followers
Atiqahhh9,,2020-09-27,12,239,followers
FeeYaa6,,2021-03-02,1,36,followers
Emadul12034015,,2021-03-02,17,160,followers
KreatifArt,Melaka,2021-03-02,2,50,followers
RonnAlan1,,2021-03-02,2,101,followers
izzahmatnoor_,Pahang,2013-01-13,769,275,followers
Natsha99306689,"Sandakan, Sabah",2019-10-18,7,49,followers
qiskylie_,Malaysia,2021-02-11,0,15,followers
amirldniall,Jauh,2020-09-20,20,159,followers
anisnis07900275,,2021-02-11,1,26,followers
AriffAbdul,,2021-03-02,0,20,followers
usagi_moon7,,2021-02-25,11,214,followers
rosapariso,,2021-03-01,1,129,followers
JSarivill,,2021-02-28,0,6,followers
Aleesyahputri1,,2021-03-01,0,12,followers
aenirdina,,2021-03-01,0,7,followers
Jali761,,2021-03-01,6,110,followers
Dealfonso8De,,2021-03-01,0,73,followers
Swagurichi,,2020-03-10,6,43,followers
fiqhxr,Malaysia,2013-12-29,192,120,followers
hakim24999429,,2021-03-01,0,25,followers
naing4508,Turkey,2021-03-01,1,53,followers
FSuqares,,2021-03-01,4,259,followers
aishahssssss,,2020-12-26,2,56,followers
ShaYus5,,2021-03-01,3,27,followers
aidi_ddie,,2021-02-28,0,10,followers
elfarizakahar,,2021-02-26,4,39,followers
MohdSukry14,,2020-11-27,1,35,followers
Christo71844255,,2021-02-24,3,57,followers
idz17765652,,2021-03-01,0,98,followers
HakimsMohd,,2021-03-01,0,28,followers
AzeriSolehah,,2021-03-01,0,45,followers
SharmimiAika,,2021-03-01,0,6,followers
Joji71295573,,2021-03-01,0,15,followers
Jieha56238086,,2021-03-01,0,6,followers
MLavender27,Malaysia,2021-03-01,0,5,followers
Dina_batrisya98,Malaysia,2021-03-01,0,50,followers
Tanzhenjia4,,2021-03-01,0,28,followers
candy88823649,,2021-03-01,0,11,followers
kheyyrell,,2021-03-01,0,20,followers
syalabiatul,,2017-05-27,50,163,followers
MichealRayang,,2021-03-01,1,57,followers
shyliaa1,,2021-03-01,0,8,followers
